Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-17 오후 10:47:05, 0.00, 42.00, 1586216, 751634, 0, 0.51
2024-09-17 오후 10:47:06, 0.77, 42.00, 1592108, 754426, 0, 0.56
2024-09-17 오후 10:47:07, 1.54, 42.00, 1598000, 757218, 0, 0.23
2024-09-17 오후 10:47:08, 0.39, 42.00, 1603892, 760010, 0, 0.28
2024-09-17 오후 10:47:09, 0.38, 42.00, 1609784, 762802, 0, 0.33
2024-09-17 오후 10:47:10, 0.00, 42.00, 1615676, 765594, 0, 0.27
2024-09-17 오후 10:47:11, 0.39, 42.00, 1617385, 766404, 0, 0.17
2024-09-17 오후 10:47:12, 0.00, 42.00, 1623277, 769196, 0, 0.13
2024-09-17 오후 10:47:13, 0.38, 42.00, 1627696, 771290, 0, 0.36
2024-09-17 오후 10:47:14, 0.38, 42.00, 1633588, 774082, 0, 0.16
2024-09-17 오후 10:47:15, 0.00, 42.00, 1639303, 776790, 0, 0.49
2024-09-17 오후 10:47:16, 0.00, 42.00, 1645195, 779582, 0, 0.50
2024-09-17 오후 10:47:17, 0.38, 42.00, 1651087, 782374, 0, 0.39
2024-09-17 오후 10:47:18, 0.77, 42.00, 1656979, 785166, 0, 0.27
2024-09-17 오후 10:47:19, 0.38, 42.00, 1662871, 787958, 0, 0.34
2024-09-17 오후 10:47:20, 0.38, 42.00, 1668704, 790722, 0, 0.31
2024-09-17 오후 10:47:21, 0.00, 42.00, 1674596, 793514, 0, 0.45
2024-09-17 오후 10:47:22, 0.00, 42.00, 1680488, 796306, 0, 0.40
2024-09-17 오후 10:47:23, 0.00, 42.00, 1686380, 799098, 0, 0.43
2024-09-17 오후 10:47:24, 0.00, 42.00, 1692272, 801890, 0, 0.24
2024-09-17 오후 10:47:25, 0.38, 42.00, 1698164, 804682, 0, 0.18
2024-09-17 오후 10:47:26, 0.39, 42.00, 1704056, 807474, 0, 0.10
2024-09-17 오후 10:47:27, 0.00, 42.00, 1709948, 810266, 0, 0.27
2024-09-17 오후 10:47:28, 0.38, 42.00, 1713541, 811968, 0, 0.07
2024-09-17 오후 10:47:29, 1.15, 42.00, 1717549, 813868, 0, 0.06
2024-09-17 오후 10:47:30, 0.00, 42.00, 1721968, 815962, 0, 0.17
2024-09-17 오후 10:47:31, 0.00, 42.00, 1727860, 818754, 0, 0.23
2024-09-17 오후 10:47:32, 0.00, 42.00, 1733575, 821462, 0, 0.42
2024-09-17 오후 10:47:33, 0.77, 42.00, 1739467, 824254, 0, 0.41
2024-09-17 오후 10:47:34, 1.54, 42.00, 1745359, 827046, 0, 0.52
2024-09-17 오후 10:47:35, 0.38, 42.00, 1751251, 829838, 0, 0.25
2024-09-17 오후 10:47:36, 0.38, 42.00, 1757143, 832630, 0, 0.35
2024-09-17 오후 10:47:37, 0.00, 42.00, 1762976, 835394, 0, 0.47
2024-09-17 오후 10:47:38, 0.00, 42.00, 1768868, 838186, 0, 0.29
2024-09-17 오후 10:47:39, 0.00, 42.00, 1774760, 840978, 0, 0.30
2024-09-17 오후 10:47:40, 0.00, 42.00, 1780652, 843770, 0, 0.27
2024-09-17 오후 10:47:41, 1.92, 42.00, 1786544, 846562, 0, 0.37
2024-09-17 오후 10:47:42, 0.00, 42.00, 1792436, 849354, 0, 0.23
2024-09-17 오후 10:47:43, 0.38, 42.00, 1798328, 852146, 0, 0.36
2024-09-17 오후 10:47:44, 0.38, 42.00, 1804220, 854938, 0, 0.38
